Sname,Jname,family,Jfamily,genus,Jgenus,Mizukoku
Abudefduf hoefleri,オヤビッチャ属の一種,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf saxatilis,イソスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,29693
Abudefduf sparoides,オヤビッチャ属の一種,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Aetoplatea zonura,Aetoplatea属の一種,Gymnuridae,ツバクロエイ科,Aetoplatea,Aetoplatea属,-
Alosa pseudoharengus,エールワイフ,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Aspidontus taeniatus taeniatus,ニセクロスジギンポ,Blenniidae,イソギンポ科,Aspidontus,クロスジギンポ属,-
Bathytoshia centroura,Bathytoshia属の一種,Dasyatidae,アカエイ科,Bathytoshia,Bathytoshia属,-
Cryptacanthodes giganteus,ハダカオオカミウオ属の一種,Cryptacanthodidae,ハダカオオカミウオ科,Cryptacanthodes,ハダカオオカミウオ属,-
Cynoglossus cynoglossus,イヌノシタ属の一種,Cynoglossidae,ウシノシタ科,Cynoglossus,イヌノシタ属,-
Cynoglossus nanhaiensis,イヌノシタ属の一種,Cynoglossidae,ウシノシタ科,Cynoglossus,イヌノシタ属,-
Dasyatis pastinaca,アカエイ属の一種,Dasyatidae,アカエイ科,Dasyatis,アカエイ属,-
Dasyatis sp.,アカエイ属の一種,Dasyatidae,アカエイ科,Dasyatis,アカエイ属,-
Dasyatis tortonesei,アカエイ属の一種,Dasyatidae,アカエイ科,Dasyatis,アカエイ属,-
Eleginops maclovinus,ロバロ,Eleginopidae,ロバロ科,Eleginops,Eleginops属,-
Enoplosus armatus,オールドワイフ,Enoplosidae,エノプロスス科,Enoplosus,Enoplosus属,-
Hemitrygon bennettii,アカエイ属の一種,Dasyatidae,アカエイ科,Hemitrygon,アカエイ属,-
Himantura microphthalma,オトメエイ属の一種,Dasyatidae,アカエイ科,Himantura,オトメエイ属,-
Hippocampus comes,タイガーテールシーホース,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Hippocampus japonicus,サンゴダツ,Syngnathidae,ヨウジウオ科,Hippocampus,タツノオトシゴ属,-
Jaydia carinatus,マトイシモチ,Apogonidae,テンジクダイ科,Jaydia,ツマグロイシモチ属,-
Jaydia smithi,ツマグロイシモチ属の一種,Apogonidae,テンジクダイ科,Jaydia,ツマグロイシモチ属,-
Medialuna californiensis,ハーフムーン,Scorpididae,タカベ科,Medialuna,メディアルナ属,-
Microthrissa congica,Microthrissa属の一種,Clupeidae,ニシン科,Microthrissa,Microthrissa属,-
Mobula hypostoma,イトマキエイ属の一種,Mobulidae,イトマキエイ科,Mobula,イトマキエイ属,-
Mobula rochebrunei,イトマキエイ属の一種,Mobulidae,イトマキエイ科,Mobula,イトマキエイ属,-
Myliobatis aquila,トビエイ属の一種,Myliobatidae,トビエイ科,Myliobatis,トビエイ属,-
Myliobatis californica,バットイーグルレイ,Myliobatidae,トビエイ科,Myliobatis,トビエイ属,-
Pennahia macrocephalus,タイワンシログチ,Sciaenidae,ニベ科,Pennahia,シログチ属,-
Pennahia pawak,シログチ属の一種,Sciaenidae,ニベ科,Pennahia,シログチ属,-
Poecilia formosa,アマゾンモーリー,Poeciliidae,カダヤシ科,Poecilia,グッピー属,-
Poecilia latipinna,セイルフィンモーリー,Poeciliidae,カダヤシ科,Poecilia,グッピー属,-
Poroclinus rothrocki,Poroclinus属の一種,Stichaeidae,タウエガジ科,Poroclinus,Poroclinus属,-
Repomucenus octostigmatus,ネズッポ属の一種,Callionymidae,ネズッポ科,Repomucenus,ネズッポ属,-
Stethojulis balteata,ベルテッドラス,Labridae,ベラ科,Stethojulis,カミナリベラ属,-
Stethojulis interrupta,カットリボンラス,Labridae,ベラ科,Stethojulis,カミナリベラ属,-
Stethojulis terina,カミナリベラ属の一種,Labridae,ベラ科,Stethojulis,カミナリベラ属,-
Tilodon sexfasciatum,ムーンライター,Kyphosidae,イスズミ科,Tilodon,Tilodon属,-
Trixiphichthys weberi,Trixiphichthys属の一種,Triacanthidae,ギマ科,Trixiphichthys,Trixiphichthys属,-
Abalistes filamentosus,イトヒキオキハギ,Balistidae,モンガラカワハギ科,Abalistes,オキハギ属,-
Abalistes stellaris,オキハギ属の一種,Balistidae,モンガラカワハギ科,Abalistes,オキハギ属,-
Abalistes stellatus,オキハギ,Balistidae,モンガラカワハギ科,Abalistes,オキハギ属,-
Abantennarius analis,ロケットカエルアンコウ,Antennariidae,カエルアンコウ科,Abantennarius,Abantennarius属,-
Abbottina obtusirostris,ツチフキ属の一種,Cyprinidae,コイ科,Abbottina,ツチフキ属,-
Abbottina rivularis,ツチフキ,Cyprinidae,コイ科,Abbottina,ツチフキ属,29254
Ablabys gymnothorax,カササハオコゼ,Tetrarogidae,ハオコゼ科,Ablabys,ツマジロオコゼ属,-
Ablabys taenianotus,ツマジロオコゼ,Tetrarogidae,ハオコゼ科,Ablabys,ツマジロオコゼ属,29495
Ablennes hians,ハマダツ,Belonidae,ダツ科,Ablennes,ハマダツ属,-
Abudefduf bengalensis,テンジクスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf caudobimaculatus,シリテンスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf lorenzi,ローレンツスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf nigrimargo,アミメオヤビッチャ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf notatus,イソスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,29693
Abudefduf septemfasciatus,シチセンスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,-
Abudefduf sexfasciatus,ロクセンスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,29694
Abudefduf sordidus,シマスズメダイ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,29692
Abudefduf vaigiensis,オヤビッチャ,Pomacentridae,スズメダイ科,Abudefduf,オヤビッチャ属,29695
Abyssobrotula galatheae,ヨミノアシロ,Ophidiidae,アシロ科,Abyssobrotula,ヨミノアシロ属,-
Acanthaluteres brownii,Acanthaluteres属の一種,Monacanthidae,カワハギ科,Acanthaluteres,Acanthaluteres属,-
Acanthaphritis barbata,ヒゲトラギス,Percophidae,ホカケトラギス科,Acanthaphritis,ヒゲトラギス属,-
Acanthaphritis unoorum,フタホシヒゲトラギス,Percophidae,ホカケトラギス科,Acanthaphritis,ヒゲトラギス属,-
Acanthemblemaria aspera,Acanthemblemaria属の一種,-,-,Acanthemblemaria,Acanthemblemaria属,-
Acanthocepola indica,インドアカタチ,Cepolidae,アカタチ科,Acanthocepola,アカタチ属,-
Acanthocepola krusensternii,アカタチ,Cepolidae,アカタチ科,Acanthocepola,アカタチ属,-
Acanthocepola limbata,イッテンアカタチ,Cepolidae,アカタチ科,Acanthocepola,アカタチ属,-
Acanthocybium solandri,カマスサワラ,Scombridae,サバ科,Acanthocybium,カマスサワラ属,-
Acanthogobius flavimanus,マハゼ,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,29889
Acanthogobius hasta,ハゼクチ,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,29890
Acanthogobius insularis,ミナミアシシロハゼ,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,29892
Acanthogobius lactipes,アシシロハゼ,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,29891
Acanthogobius luridus,マハゼ属の一種,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,-
Acanthogobius sp.'elongata',マハゼ属の一種,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,-
Acanthogobius sp.,マハゼ属の一種,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,-
Acanthogobius stigmothonus,マハゼ属の一種,Gobiidae,ハゼ科,Acanthogobius,マハゼ属,-
Acantholumpenus mackayi,ヌイメガジ,Lumpenidae,タウエガジ科,Acantholumpenus,ヌイメガジ属,-
Acanthonus armatus,ハナトゲアシロ,Ophidiidae,アシロ科,Acanthonus,ハナトゲアシロ属,-
Acanthopagrus australis,オーストラリアキチヌ,Sparidae,タイ科,Acanthopagrus,クロダイ属,-
Acanthopagrus berda,ナンヨウチヌ,Sparidae,タイ科,Acanthopagrus,クロダイ属,29628
Acanthopagrus chinshira,オキナワキチヌ,Sparidae,タイ科,Acanthopagrus,クロダイ属,29629
Acanthopagrus latus,キチヌ,Sparidae,タイ科,Acanthopagrus,クロダイ属,29627
Acanthopagrus pacificus,ナンヨウチヌ,Sparidae,タイ科,Acanthopagrus,クロダイ属,29628
Acanthopagrus schlegelii,クロダイ,Sparidae,タイ科,Acanthopagrus,クロダイ属,29625
Acanthopagrus schlegelii x Pagrus major,クロダイとマダイの交配種,Sparidae,タイ科,Acanthopagrus,クロダイ属,-
Acanthopagrus sivicolus,ミナミクロダイ,Sparidae,タイ科,Acanthopagrus,クロダイ属,29626
Acanthopagrus sp.,クロダイ属の一種,Sparidae,タイ科,Acanthopagrus,クロダイ属,-
Acanthopagrus taiwanensis,イワツキクロダイ,Sparidae,タイ科,Acanthopagrus,クロダイ属,-
Acanthoplesiops psilogaster,フチドリタナバタウオ,Plesiopidae,タナバタウオ科,Acanthoplesiops,フチドリタナバタウオ属,-
Acanthopsetta nadeshnyi,ウロコメガレイ,Pleuronectidae,カレイ科,Acanthopsetta,ウロコメガレイ属,-
Acanthorhodeus chankaensis,チョウセンタナゴ,Cyprinidae,コイ科,Acanthorhodeus,Acanthorhodeus属,-
Acanthurus achilles,アカツキハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus bariene,カンランハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus blochii,オスジクロハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus chronixis,ナメラハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus dussumieri,ニセカンランハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,30056
Acanthurus guttatus,ゴマニザ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus japonicus,ナミダクロハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus leucopareius,スジクロハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus lineatus,ニジハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus maculiceps,イレズミニザ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus mata,ヒラニザ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus nigricans,メガネクロハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus nigricauda,クロモンツキ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus nigrofuscus,ナガニザ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus olivaceus,モンツキハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus pyroferus,クログチニザ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus thompsoni,オハグロハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,-
Acanthurus triostegus,シマハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,30055
Acanthurus xanthopterus,クロハギ,Acanthuridae,ニザダイ科,Acanthurus,クロハギ属,30057
Acentrogobius audax,ニセツムギハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29989
Acentrogobius caninus,ホクロハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29985
Acentrogobius janthinopterus,カスミハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29986
Acentrogobius moloanus,フタスジノボリハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29984
Acentrogobius multifasciatus,セイタカスジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29991
Acentrogobius pflaumii,モヨウハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29993
Acentrogobius signatus,セイタカスジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29991
Acentrogobius sp.,キララハゼ属の一種,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,-
Acentrogobius sp.1,オキナワスジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,-
Acentrogobius sp.2,ツマグロスジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29992
Acentrogobius sp.A,ツマグロスジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29992
Acentrogobius suluensis,ホホグロスジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29990
Acentrogobius viganensis,スズメハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29988
Acentrogobius virgatulus,スジハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29994
Acentrogobius viridipunctatus,キララハゼ,Gobiidae,ハゼ科,Acentrogobius,キララハゼ属,29987
Acentronura breviperula,ショートポーチピグミーパイプホース,Syngnathidae,ヨウジウオ科,Acentronura,タツノイトコ属,-
Acentronura gracilissima,タツノイトコ,Syngnathidae,ヨウジウオ科,Acentronura,タツノイトコ属,-
Acentronura tentaculata,タツノハトコ,Syngnathidae,ヨウジウオ科,Acentronura,タツノイトコ属,-
Acestrorhynchus sp.,アケストリンクス属の一種,Acestrorhynchidae,アケストロリンクス科,Acestrorhynchus,アケストリンクス属,-
Acheilognathus barbatulus,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus barbatus,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus chankaensis,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus cyanostigma,イチモンジタナゴ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29200
Acheilognathus gracilis,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus imberbis,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus intermedia,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus longipinnis,イタセンパラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29202
Acheilognathus macropterus,オオタナゴ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29199
Acheilognathus majusculus,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus melanogaster,タナゴ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29201
Acheilognathus meridianus,Acheilognathus barbatulus,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus omeiensis,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus rhombeus,カネヒラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29198
Acheilognathus signifer,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus somjinensis,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus sp.,タナゴ属の一種,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus tabira erythropterus,アカヒレタビラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29206
Acheilognathus tabira jordani,ミナミアカヒレタビラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29203
Acheilognathus tabira nakamurae,セボシタビラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29204
Acheilognathus tabira tabira,シロヒレタビラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29205
Acheilognathus tabira tohokuensis,キタノアカヒレタビラ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29207
Acheilognathus tonkinensis,トンキントゲタナゴ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Acheilognathus typus,ゼニタナゴ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,29208
Acheilognathus yamatsutae,チョウセンイチモンジタナゴ,Cyprinidae,コイ科,Acheilognathus,タナゴ属,-
Achiroides leucorhynchos,Achiroides属の一種,Soleidae,ササウシノシタ科,Achiroides,Achiroides属,-
Achoerodus viridis,イースタンブルーグローパー,Labridae,ベラ科,Achoerodus,Achoerodus属,-
Acipenser baerii,シベリアチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser dabryanus,チョウセンチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser dabryanus x Acipenser schrenckii,チョウセンチョウザメとアムールチョウザメの交配種,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser gueldenstaedtii,ロシアチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser gueldenstaedtii x Acipenser baerii,ロシアチョウザメとシベリアチョウザメの交配種,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser medirostris,チョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,29123
Acipenser mikadoi,チョウザメ属の一種,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser persicus,パーシャンスタージョン,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser ruthenus,コチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser schrenckii,アムールチョウザ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser schrenckii x Huso dauricus,アムールチョウザとダウリアチョウザメの交配種,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser sinensis,カラチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,29124
Acipenser sp.,チョウザメ属の一種,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser stellatus,ホシチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acipenser transmontanus,シロチョウザメ,Acipenseridae,チョウザメ科,Acipenser,チョウザメ属,-
Acreichthys hajam,トゲカワハギ,Monacanthidae,カワハギ科,Acreichthys,フチドリカワハギ属,-
Acreichthys radiatus,スダレカワハギ,Monacanthidae,カワハギ科,Acreichthys,フチドリカワハギ属,-
Acreichthys tomentosus,フチドリカワハギ,Monacanthidae,カワハギ科,Acreichthys,フチドリカワハギ属,30117
Acromycter nezumi,ヒモアナゴ,Congridae,アナゴ科,Acromycter,ヒモアナゴ属,-
Acropoma hanedai,ハネダホタルジャコ,Acropomatidae,ホタルジャコ科,Acropoma,ホタルジャコ属,-
Acropoma japonicum,ホタルジャコ,Acropomatidae,ホタルジャコ科,Acropoma,ホタルジャコ属,-
Acropoma lecorneti,オキナワホタルジャコ,Acropomatidae,ホタルジャコ科,Acropoma,ホタルジャコ属,-
Adelosebastes latens,フトユビメヌケ,Sebastidae,メバル科,Adelosebastes,フトユビメヌケ属,-
Aeoliscus strigatus,ヘコアユ,Centriscidae,ヘコアユ科,Aeoliscus,ヘコアユ属,-
Aesopia cornuta,ツノウシノシタ,Soleidae,ササウシノシタ科,Aesopia,ツノウシノシタ属,-
Aethaloperca rogaa,クロハタ,Serranidae,ハタ科,Aethaloperca,クロハタ属,-
Aetobatus narutobiei,ナルトビエイ,Myliobatidae,トビエイ科,Aetobatus,マダラトビエイ属,29121
Aetobatus ocellatus,マダラトビエイ,Myliobatidae,トビエイ科,Aetobatus,マダラトビエイ属,-
Aetobatus sp.'cf. narinari/ocellatus',マダラトビエイ属の一種,Myliobatidae,トビエイ科,Aetobatus,マダラトビエイ属,-
Aetomylaeus nichofii,アオスジトビエイ,Myliobatidae,トビエイ科,Aetomylaeus,アオスジトビエイ属,-
Aetomylaeus sp.,アオスジトビエイ属の一種,Myliobatidae,トビエイ科,Aetomylaeus,アオスジトビエイ属,-
Agonomalus jordani,クマガイウオ,Agonidae,トクビレ科,Agonomalus,クマガイウオ属,-
Agonomalus proboscidalis,アツモリウオ,Agonidae,トクビレ科,Agonomalus,クマガイウオ属,-
Ahliesaurus brevis,フカミフデエソ,Notosudidae,フデエソ科,Ahliesaurus,フカミフデエソ属,-
Albatrossia pectoralis,ムネダラ,Macrouridae,ソコダラ科,Albatrossia,ムネダラ属,-
Albula glossodonta,マルクチソトイワシ,Albulidae,ソトイワシ科,Albula,ソトイワシ属,-
Albula koreana,ソトイワシ,Albulidae,ソトイワシ科,Albula,ソトイワシ属,29131
Alburnus alburnus,Alburnus属の一種,Leuciscinae,ウグイ科,Alburnus,Alburnus属,-
Alburnus chalcoides aralensis,Alburnus属の一種,Leuciscinae,ウグイ科,Alburnus,Alburnus属,-
Alburnus istanbulensis,Alburnus属の一種,Leuciscinae,ウグイ科,Alburnus,Alburnus属,-
Alburnus mossulensis,Alburnus属の一種,Leuciscinae,ウグイ科,Alburnus,Alburnus属,-
Alburnus tarichi,Alburnus属の一種,Leuciscinae,ウグイ科,Alburnus,Alburnus属,-
Alcichthys alcicornis,ニジカジカ属の一種,Cottidae,カジカ科,Alcichthys,ニジカジカ属,-
Alcichthys elongatus,ニジカジカ,Cottidae,カジカ科,Alcichthys,ニジカジカ属,-
Alcockia rostrata,リュウジンアシロ,Ophidiidae,アシロ科,Alcockia,リュウジンアシロ属,-
Aldrovandia affinis,トカゲギス,Halosauridae,トカゲギス科,Aldrovandia,トカゲギス属,-
Alectis ciliaris,イトヒキアジ,Carangidae,アジ科,Alectis,イトヒキアジ属,29569
Alectis indica,ウマヅラアジ,Carangidae,アジ科,Alectis,イトヒキアジ属,-
Alectrias alectrolophus,キタムシャギンポ,Stichaeidae,タウエガジ科,Alectrias,ムシャギンポ属,-
Alectrias benjamini,ムシャギンポ,Stichaeidae,タウエガジ科,Alectrias,ムシャギンポ属,-
Alectrias cirratus,ヒゲキタノトサカ,Stichaeidae,タウエガジ科,Alectrias,ムシャギンポ属,-
Alectrias markevichi,ヒナムシャギンポ,Stichaeidae,タウエガジ科,Alectrias,ムシャギンポ属,-
Alectrias mutsuensis,ムツムシャギンポ,Stichaeidae,タウエガジ科,Alectrias,ムシャギンポ属,-
Alepes djedaba,クロボシヒラアジ,Carangidae,アジ科,Alepes,マブタシマアジ属,-
Alepes kleinii,ミヤカミヒラアジ,Carangidae,アジ科,Alepes,マブタシマアジ属,-
Alepes vari,マブタシマアジ,Carangidae,アジ科,Alepes,マブタシマアジ属,-
Alepisaurus ferox,ミズウオ,Alepisauridae,ミズウオ科,Alepisaurus,ミズウオ属,-
Alepocephalus australis,アラメコンニャクイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alepocephalus bicolor,ホソメコンニャクイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alepocephalus longiceps,トガリコンニャクイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alepocephalus longirostris,マルコンニャクイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alepocephalus owstoni,ハゲイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alepocephalus triangularis,オキナワコンニャクイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alepocephalus umbriceps,コンニャクイワシ,Alepocephalidae,セキトリイワシ科,Alepocephalus,ハゲイワシ属,-
Alionematichthys piger,ハダカリュウキュウイタチウオ,Bythitidae,フサイタチウオ科,Alionematichthys,リュウキュウイタチウオ属,-
Alionematichthys riukiuensis,リュウキュウイタチウオ,Bythitidae,フサイタチウオ科,Alionematichthys,リュウキュウイタチウオ属,-
Alionematichthys shinoharai,シノハラリュウキュウイタチウオ,Bythitidae,フサイタチウオ科,Alionematichthys,リュウキュウイタチウオ属,-
Allocareproctus jordani,ミサキビクニン,Liparidae,クサウオ科,Allocareproctus,Allocareproctus属,-
Allocyttus folletti,オオメマトウダイ,Oreosomatidae,オオメマトウダイ科,Allocyttus,オオメマトウダイ属,-
Alopias pelagicus,ニタリ,Alopiidae,オナガザメ科,Alopias,オナガザメ属 ,-
Alopias superciliosus,ハチワレ,Alopiidae,オナガザメ科,Alopias,オナガザメ属 ,-
Alopias vulpinus,マオナガ,Alopiidae,オナガザメ科,Alopias,オナガザメ属 ,-
Alosa aestivalis,ニシンダマシ属の一種,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Alosa alosa,アリスシャッド,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Alosa chrysochloris,ニシンダマシ属の一種,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Alosa mediocris,ニシンダマシ属の一種,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Alosa sapidissima,ニシンダマシ属の一種,Clupeidae,ニシン科,Alosa,ニシンダマシ属,-
Alticus saliens,タマカエルウオ,Blenniidae,イソギンポ科,Alticus,タマカエルウオ属,29802
Aluterus monoceros,ウスバハギ,Monacanthidae,カワハギ科,Aluterus,ウスバハギ属,-
Aluterus schoepfii,ウスバハギ属の一種,Monacanthidae,カワハギ科,Aluterus,ウスバハギ属,-
Aluterus scriptus,ソウシハギ,Monacanthidae,カワハギ科,Aluterus,ウスバハギ属,30113
Amamiichthys matsubarai,ホシレンコ,Sparidae,タイ科,Amamiichthys,ホシレンコ属,-
Amanses scopas,アザミカワハギ,Monacanthidae,カワハギ科,Amanses,アザミカワハギ属,-
Amarsipus carlsbergi,トコナツイボダイ,Amarsipidae,トコナツイボダイ科,Amarsipus,Amarsipus属,-
Amatitlania nigrofasciata,コンビクトシクリッド,Cichlidae,カワスズメ科,Amatitlania,アマティトラニア属,29673
Amatitlania sajica,アマティトラニア属の一種,Cichlidae,カワスズメ科,Amatitlania,アマティトラニア属,-
Ambassis buruensis,トゲナガタカサゴイシモチ,Ambassidae,タカサゴイシモチ科,Ambassis,タカサゴイシモチ属,29516
Ambassis interrupta,ナンヨウタカサゴイシモチ,Ambassidae,タカサゴイシモチ科,Ambassis,タカサゴイシモチ属,29517
Ambassis macracanthus,ハナダカタカサゴイシモチ,Ambassidae,タカサゴイシモチ科,Ambassis,タカサゴイシモチ属,29519
Ambassis miops,セスジタカサゴイシモチ,Ambassidae,タカサゴイシモチ科,Ambassis,タカサゴイシモチ属,29518
Ambassis sp.,タカサゴイシモチ属の一種,Ambassidae,タカサゴイシモチ科,Ambassis,タカサゴイシモチ属,-
Ambassis urotaenia,タカサゴイシモチ,Ambassidae,タカサゴイシモチ科,Ambassis,タカサゴイシモチ属,29515
Ambloplites cavifrons,ローノークバス ,Centrarchidae,サンフィッシュ科,Ambloplites,アムブロプリテス属,-
Ambloplites constellatus,オザークバス ,Centrarchidae,サンフィッシュ科,Ambloplites,アムブロプリテス属,-
Amblychaeturichthys hexanema,アカハゼ,Gobiidae,ハゼ科,Amblychaeturichthys,アカハゼ属,29883
Amblychaeturichthys sciistius,コモチジャコ,Gobiidae,ハゼ科,Amblychaeturichthys,アカハゼ属,-
Amblycirrhitus bimaculus,フタホシゴンベ,Cirrhitidae,ゴンベ科,Amblycirrhitus,クロホシゴンベ属,-
Amblycirrhitus unimaculus,クロホシゴンベ,Cirrhitidae,ゴンベ科,Amblycirrhitus,クロホシゴンベ属,-
Amblyeleotris diagonalis,ハチマキダテハゼ,Gobiidae,ハゼ科,Amblyeleotris,ダテハゼ属,-
Amblyeleotris fontanesii,ニュウドウダテハゼ,Gobiidae,ハゼ科,Amblyeleotris,ダテハゼ属,-
